,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5),
 iteration 30,26.76966303456024,0.0,25.923621460122792,25.471597618871947,22.27841428722976,24.6852560059671,25.997788396464262,24.307029041688924,25.42522201654182,26.217920238781588,0.0,23.70518162686307,25.372511838581264,24.774637493645567,24.063157377332864,25.669031058189503,26.556745302980776,26.103474010741476,24.774637493645567,24.317918036306974,23.753193487407874,24.18725283620281,25.97998600305376,26.850397360070264,24.24121276605702,0.0,0.0,0.0,24.458106191297386,26.172975116649727,23.65359808269123,23.137839384951075,22.63022062594415,22.13062322432843,24.48712451507754,25.5814725119237,
 iteration 31,27.501966404214635,0.0,26.619634885237726,26.160013097015977,22.8842933872724,25.34137608237613,26.721734318515157,25.02269856726212,26.11557209090661,26.89974611347579,0.0,24.367577378626134,26.08818136415446,25.482002637875638,24.747485431908487,26.343717764626867,27.22521426572224,26.764802964162378,25.482002637875638,25.016030505600575,24.43113351291006,24.8549253016649,26.6411966419638,27.506354739176047,24.9415062168768,0.0,0.0,0.0,25.112304789922092,26.82227566417804,24.346025233063017,23.82334418280622,23.308872276719473,22.80249024157885,25.130869730638533,26.22376420804267,
 iteration 32,28.22694674017249,0.0,27.3079359793514,26.840801457484996,23.483459799668086,25.99155624988112,27.438440673908566,25.73121043304422,26.798349993751792,27.574026268943648,0.0,25.02250426858458,26.796693229936565,26.182286319313906,25.42436759936156,27.010937409646665,27.886167995459108,27.41868966503412,26.182286319313906,25.70709932828679,25.101739577059572,25.515213114123476,27.29498026988027,28.15488852101943,25.634788995838225,0.0,0.0,0.0,25.75914783870109,27.464232635432424,25.03152045687493,24.501986350040575,23.980729900022595,23.46763114865051,25.767332992134417,26.858790870080014,
 iteration 33,28.944677272770768,0.0,27.98861030189311,27.51404730401578,24.07598798494764,26.63570454123396,28.147979859622776,26.432636227304695,27.47363894622793,28.240844321082488,0.0,25.67005805988677,27.498119024197038,26.875559446276526,26.093885234148917,27.670773972028524,28.539701952472814,28.065228186777773,26.875559446276526,26.391195684761282,25.765091576535536,26.168200098641755,27.94142971970493,28.7960883300462,26.321131302626977,0.0,0.0,0.0,26.398727004945528,28.09893496179401,25.710153165565202,25.173834604435676,24.645861526917532,24.126113296751488,26.396602308814288,27.486640414451394,
 iteration 34,29.655230500043064,0.0,28.661742462084323,28.17983430085551,24.66195157678738,27.27374849416825,28.85042354863993,27.12704682220737,28.141521253156483,28.90028295812722,0.0,26.31033221978558,28.192529619099712,27.561892216299718,26.756118785144437,28.323310355860873,29.185909262079697,28.704510470732696,27.561892216299718,27.06839003080007,26.421268500649134,26.813968925656866,28.580635803881727,29.430043055216736,27.000602633229523,0.0,0.0,0.0,27.031132091381544,28.726470737996042,26.38199207474787,25.83895697487858,25.30433450643351,24.778003361852132,27.018764913864896,28.10739995199618,
 iteration 35,30.358678195042636,0.0,29.327416129501824,28.838245183204737,25.2414233912001,27.905632798062683,29.545842697187656,27.814512380984826,28.802078313137542,29.552423950953365,0.0,26.943418072337842,28.87999517787717,28.2413541233416,27.41114780744598,28.968628419038108,29.824880885654434,29.33662646050731,28.2413541233416,27.738752105461632,27.070348445577945,27.452601148574693,29.212687437613667,30.05684072238349,27.673271787065996,0.0,0.0,0.0,27.656451130698407,29.346927117128477,27.04710521126929,26.497420808351237,25.956215512488015,25.42336735153723,27.633907150392744,28.72115567990226,
 iteration 36,31.055091413092214,0.0,29.985714044523395,29.48936176754418,25.814475435623805,28.531317212235297,30.234307551908113,28.495102365039546,29.455390628545832,30.197348163265413,0.0,27.56940493504468,29.56058516193189,28.914013964901578,28.05905097381833,29.606808999394016,30.456705771968544,29.961664222505277,28.914013964901578,28.40235093883953,27.71240862791813,28.084177238007708,29.837671749477817,30.676568394751467,28.339206874041125,0.0,0.0,0.0,28.274770472121293,29.960390229978888,27.70555992018301,27.149292776838493,26.601570550728713,26.062270611781518,28.242114383111485,29.327992798381647,
 iteration 37,31.744540498961292,0.0,30.63671802865722,30.13326496184667,26.38117891790932,29.150774724671077,30.915887656955164,29.168885540972664,30.101537815416087,30.835135561672033,0.0,28.18838024136303,30.234368337865007,29.579939849059457,28.69990608580644,30.237931938763975,31.081470991364746,30.5797100542693,29.579939849059457,29.059254859675875,28.347525397629376,28.708776613064682,30.45567418093468,31.289312096783732,28.998475321515237,0.0,0.0,0.0,28.886174860808186,30.566945124640636,28.357422871645202,27.794638884157028,27.240464965296656,26.694777833647695,28.843470931466314,29.927995447970336,
 iteration 38,32.42709509397169,0.0,31.280508994756406,30.770034775675427,26.94160425520796,29.76398992357687,31.590651861020433,29.835929987541366,30.740598613219202,31.46586522564917,0.0,28.80042965077117,30.90141278443371,30.2391992014363,29.333790084549438,30.86207610522965,31.699261854951278,31.190848582075663,30.2391992014363,29.709531502845053,28.97577425043822,29.326477670047804,31.066778576037738,31.89515675761763,29.65114388119757,0.0,0.0,0.0,29.490747510781322,31.16667572293994,29.002760067732897,28.433524472707546,27.87296344551312,27.320953059908636,29.438060020575023,30.521246663954425,
 iteration 39,33.10282414303197,0.0,31.917166957119825,31.39975033017004,27.49582108276026,30.370957557333337,32.25866832428894,30.49630310254563,31.37265089453019,32.08961535739243,0.0,29.405637147856616,31.561785899437975,30.89185877207873,29.96077906132144,31.479319413765808,32.31016202070972,31.79516284903173,30.89185877207873,30.353247816715534,29.597229839756153,29.937357808866118,31.67106726248399,32.49418617065836,30.297278635963476,0.0,0.0,0.0,30.088570172025726,31.759664790763022,29.641636849186675,29.06601423015194,28.499130032491934,27.940859691595527,30.025963746919384,31.107828344960822,
