,(0:0),(1:0),(2:0),(3:0),(4:0),(5:0),(0:1),(1:1),(2:1),(3:1),(4:1),(5:1),(0:2),(1:2),(2:2),(3:2),(4:2),(5:2),(0:3),(1:3),(2:3),(3:3),(4:3),(5:3),(0:4),(1:4),(2:4),(3:4),(4:4),(5:4),(0:5),(1:5),(2:5),(3:5),(4:5),(5:5)
 iteration 214,88.47696613,0,83.25902853,82.27634935,76.46999696,79.76951149,87.00083435,84.6126035,83.31088205,83.35206468,0,78.80056817,85.6780863,84.38070605,81.94002517,82.22101641,82.2714901,81.19246875,84.38070605,83.15265914,81.01346557,80.15770449,81.10066505,81.37943324,83.25121593,0,0,0,78.96349083,80.15479631,82.00056323,80.90133131,79.81607459,78.7446161,78.10389615,78.98397881
 iteration 215,88.59219647,0,83.370221,82.38642802,76.5776756,79.87589099,87.11474995,84.72521961,83.42221374,83.46212831,0,78.90694775,85.7907024,84.49203946,82.05009083,82.32984213,82.37907833,81.29884834,84.49203946,83.26274025,81.12229597,80.26530811,81.20705943,81.48475066,83.361436,0,0,0,79.0687015,80.2590488,82.10954487,81.00922314,79.9228875,78.85036089,78.20801121,79.08717366
 iteration 216,88.7062745,0,83.48030154,82.49540589,76.68427747,79.9812067,87.22752639,84.83670955,83.53243212,83.57109131,0,79.01226354,85.90219235,84.60225953,82.15905584,82.4375796,82.48559068,81.40416412,84.60225953,83.37172054,81.23003806,80.3718357,81.31238987,81.5890149,83.47055388,0,0,0,79.17286006,80.36225877,82.2174367,81.11603605,80.02863228,78.95504822,78.31108513,79.18933657
 iteration 217,88.81921176,0,83.58928127,82.60329399,76.78981332,80.08546926,87.33917507,84.94708459,83.64154831,83.67896468,0,79.11652616,86.01256739,84.7113774,82.2669312,82.54423969,82.59103791,81.50842675,84.7113774,83.47961103,81.33670273,80.477298,81.416667,81.69223649,83.57858057,0,0,0,79.27597703,80.46443665,82.32424961,81.22178083,80.13331961,79.05868868,78.41312831,79.29047785
 iteration 218,88.93101964,0,83.69717121,82.71010321,76.89429383,80.1886892,87.44970726,85.05635589,83.74957333,83.78575931,0,79.21974616,86.12183869,84.81940409,82.3737278,82.64983318,82.69543067,81.61164675,84.81940409,83.58642262,81.44230076,80.58170569,81.51990136,81.79442587,83.685527,0,0,0,79.37806283,80.56559274,82.42999439,81.32646816,80.23696007,79.16129273,78.51415105,79.39060771
 iteration 219,89.04170944,0,83.80398225,82.81584433,76.99772953,80.29087695,87.55913413,85.16453447,83.85651811,83.891486,0,79.32193397,86.23001727,84.92635052,82.47945644,82.75437074,82.7987795,81.71383455,84.92635052,83.69216609,81.54684281,80.6850693,81.62210338,81.89559336,83.79140396,0,0,0,79.47912778,80.66573727,82.53468173,81.43010862,80.33956412,79.26287075,78.61416357,79.48973628
 iteration 220,89.15129235,0,83.90972518,82.92052804,77.10013088,80.39204282,87.66746673,85.27163127,83.96239344,83.99615542,0,79.42309989,86.33711406,85.03222748,82.58412779,82.85786292,82.90109484,81.81500047,85.03222748,83.79685212,81.65033943,80.78739927,81.72328338,81.99574917,83.89622215,0,0,0,79.57918208,80.76488036,82.63832219,81.53271268,80.44114214,79.36343298,78.71317596,79.58787356
 iteration 221,89.25977943,0,84.01441068,83.02416492,77.20150822,80.49219704,87.77471601,85.37765709,84.06721002,84.09977815,0,79.52325415,86.44313989,85.13704567,82.68775243,82.96032018,83.00238702,81.91515474,85.13704567,83.9004913,81.75280109,80.88870594,81.82345158,82.09490343,83.99999216,0,0,0,79.67823583,80.86303202,82.74092624,81.63429069,80.54170437,79.46298959,78.81119823,79.68502946
 iteration 222,89.36718163,0,84.11804932,83.12676543,77.3018718,80.59134973,87.88089279,85.48262266,84.17097843,84.20236465,0,79.62240687,86.54810546,85.24081568,82.79034082,83.06175286,83.10266629,82.01430746,85.24081568,84.00309408,81.85423813,80.98899955,81.92261809,82.19306614,84.10272447,0,0,0,79.77629905,80.96020216,82.84250426,81.73485293,80.64126099,79.56155064,78.90824028,79.78121381
 iteration 223,89.47350982,0,84.22065158,83.22833993,77.40123174,80.68951089,87.9860078,85.58653858,84.27370916,84.30392529,0,79.72056807,86.65202137,85.34354799,82.89190333,83.16217122,83.20194276,82.11246865,85.34354799,84.10467084,81.9546608,81.08829022,82.02079294,82.29024722,84.20442946,0,0,0,79.87338163,81.05640059,82.94306649,81.83440954,80.73982203,79.65912608,79.0043119,79.87643632
 iteration 224,89.57877472,0,84.32222781,83.32889868,77.49959809,80.78669044,88.09007167,85.68941533,84.37541258,84.40447032,0,79.81774765,86.75489813,85.44525298,82.99245021,83.26158539,83.30022647,82.20964823,85.44525298,84.20523183,82.05407925,81.18658798,82.11798605,82.38645649,84.30511739,0,0,0,79.96949339,81.15163705,83.0426231,81.93297059,80.83739747,79.75572576,79.09942281,79.9707066
 iteration 225,89.68298697,0,84.42278829,83.42845185,77.59698077,80.8828982,88.19309489,85.79126332,84.47609896,84.5040099,0,79.91395544,86.85674612,85.54594092,83.09199162,83.36000543,83.39752734,82.30585602,85.54594092,84.3047872,82.15250351,81.28390277,82.21420722,82.48170368,84.40479845,0,0,0,80.06464403,81.24592114,83.14118415,82.03054602,80.93399715,79.85135944,79.19358261,80.06403417
 iteration 226,89.7861571,0,84.52234315,83.52700949,77.69338963,80.97814388,88.29508789,85.89209283,84.57577849,84.60255408,0,80.00920114,86.95757562,85.64562198,83.19053762,83.45744126,83.4938552,82.40110173,85.64562198,84.40334703,82.24994353,81.3802444,82.30946618,82.57599838,84.5034827,0,0,0,80.15884316,81.33926239,83.23875958,82.1271457,81.02963083,79.94603679,79.28680081,80.15642847
 iteration 227,89.88829553,0,84.62090247,83.62458155,77.78883441,81.07243711,88.39606095,85.99191404,84.67446121,84.70011282,0,80.1034944,87.05739683,85.74430622,83.28809816,83.55390274,83.58921978,82.49539498,85.74430622,84.50092126,82.34640915,81.47562262,82.40377255,82.66935015,84.6011801,0,0,0,80.25210031,81.43167022,83.33535927,82.22277939,81.12430818,80.03976736,79.37908683,80.24789883
 iteration 228,89.98941257,0,84.7184762,83.72117789,77.88332474,81.16578741,88.49602428,86.09073704,84.77215711,84.79669597,0,80.19684471,87.15621983,85.84200363,83.3846831,83.6493996,83.68363072,82.5887453,85.84200363,84.59751974,82.44191011,81.57004706,82.49713585,82.76176839,84.69790054,0,0,0,80.34442488,81.52315398,83.43099295,82.31745674,81.21803875,80.13256063,79.47044999,80.33845449
 iteration 229,90.08951845,0,84.81507419,83.81680827,77.97687016,81.25820421,88.59498798,86.18857181,84.86887605,84.89231329,0,80.28926153,87.2540546,85.93872406,83.48030218,83.74394149,83.77709755,82.68116211,85.93872406,84.69315224,82.53645606,81.66352726,82.58956553,82.85326245,84.79365376,0,0,0,80.4358262,81.6137229,83.5256703,82.41118731,81.31083202,80.22442597,79.56089952,80.42810458
 iteration 230,90.18862326,0,84.9107062,83.91148234,78.06948014,81.34969684,88.69296204,86.28542823,84.9646278,84.98697444,0,80.38075418,87.35091103,86.03447729,83.57496508,83.83753796,83.86962971,82.77265476,86.03447729,84.78782841,82.63005655,81.75607265,82.6810709,82.94384157,84.88844946,0,0,0,80.52631352,81.70338613,83.61940087,82.50398058,81.40269736,80.31537265,79.65044455,80.51685818
